,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33
97,128,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,,164,172,177107,,167,108,112,113,115,116,120,526,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,,164,172,177107,,167,108,112,113,115,116,120,613,613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,,164,172,177107,,167,108,112,113,115,116,120,120,538,538,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,,164,172,177107,,167,109,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,,164,172,177107,,167,108,112,113,114,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,,164,172,177107,,167,108,112,113,114,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,,173,177107,,167,108,112,113,114,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,,164,172,177107,,167,108,112,113,115,116,120,614,120,614,614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,,164,172,177107,,167,108,112,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,,164,172,177107,,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,,164,172,177107,,167,108,112,113,115,116,127,120,613,613,120,613,613,120,410,410,120,410,410,120,410,410,410,410,120,410,410,0
109,,164,172,177107,,167,108,112,113,115,116,119,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,,164,172,177107,,167,108,112,113,115,116,120,613,613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,,164,172,177107,,167,108,112,113,115,116,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
